DataSprzedazy,RodzajUbezpieczenia,KwotaSkladki,Region,CzasTrwaniaSprzedazy,PreferowanyKontakt,NowyKlient,SprzedanePolisy,IDSprzedawcy,Kontakt,DecyzjaKlienta
02/05/2023,Majatkowe,232.78,Wschodni,14.00,Telefon,0.00,1.00,2.00,Osobiscie,Staly klient - zakup polisy
05/16/2023,Majatkowe,152.05,Zachodni,12.00,Email,0.00,1.00,18.00,Email,Staly klient - zakup polisy
04/14/2023,Majatkowe,100.23,Pólnocny,11.00,Osobiscie,0.00,1.00,17.00,Email,Staly klient - zakup polisy
04/14/2023,Majatkowe,693.12,Wschodni,59.00,Email,1.00,0.00,5.00,Email,Nowy klient - odmowa zakupu polisy
03/24/2023,Majatkowe,573.47,Wschodni,17.00,Email,0.00,1.00,18.00,Osobiscie,Staly klient - zakup polisy
07/01/2023,Zyciowe,858.18,Wschodni,81.00,Osobiscie,0.00,1.00,11.00,Telefon,Staly klient - rezygnacja
03/20/2023,Zyciowe,982.40,Pólnocny,9.00,Telefon,0.00,0.00,15.00,Telefon,Staly klient - rezygnacja
01/30/2023,Zyciowe,937.82,Wschodni,51.00,Email,1.00,1.00,9.00,Telefon,Nowy klient - zakup polisy
01/18/2023,Zyciowe,374.61,Wschodni,63.00,Osobiscie,1.00,0.00,6.00,Osobiscie,Nowy klient - odmowa zakupu polisy
02/23/2023,Majatkowe,351.80,Zachodni,53.00,Email,1.00,0.00,10.00,Email,Nowy klient - odmowa zakupu polisy
05/18/2023,Majatkowe,290.10,Zachodni,57.00,Email,1.00,1.00,15.00,Email,Nowy klient - zakup polisy
02/03/2023,Zyciowe,890.76,Zachodni,28.00,Telefon,1.00,1.00,20.00,Osobiscie,Nowy klient - zakup polisy
09/02/2023,Majatkowe,819.84,Poludniowy,44.00,Osobiscie,0.00,1.00,19.00,Email,Staly klient - rezygnacja
11/06/2023,Majatkowe,338.80,Zachodni,22.00,Email,0.00,0.00,3.00,Email,Staly klient - rezygnacja
01/01/2023,Majatkowe,844.93,Poludniowy,28.00,Telefon,0.00,1.00,20.00,Email,Staly klient - zakup polisy
01/23/2023,Zyciowe,950.41,Pólnocny,21.00,Telefon,1.00,1.00,20.00,Telefon,Nowy klient - zakup polisy
04/30/2023,Zyciowe,693.64,Wschodni,19.00,Osobiscie,1.00,1.00,7.00,Telefon,Nowy klient - zakup polisy
04/02/2023,Zyciowe,496.03,Pólnocny,27.00,Email,0.00,1.00,3.00,Osobiscie,Staly klient - zakup polisy
02/26/2023,Majatkowe,376.31,Poludniowy,47.00,Email,0.00,0.00,8.00,Email,Staly klient - rezygnacja
12/01/2023,Majatkowe,199.40,Pólnocny,6.00,Telefon,0.00,1.00,17.00,Telefon,Staly klient - zakup polisy
05/22/2023,Zyciowe,265.53,Zachodni,6.00,Email,0.00,1.00,5.00,Osobiscie,Staly klient - zakup polisy
08/03/2023,Zyciowe,157.77,Poludniowy,30.00,Email,1.00,1.00,14.00,Telefon,Nowy klient - zakup polisy
01/16/2023,Majatkowe,581.47,Zachodni,53.00,Email,1.00,0.00,10.00,Telefon,Nowy klient - odmowa zakupu polisy
03/02/2023,Zyciowe,411.60,Pólnocny,28.00,Email,0.00,0.00,3.00,Telefon,Staly klient - rezygnacja
04/13/2023,Majatkowe,826.03,Zachodni,57.00,Email,1.00,1.00,13.00,Email,Nowy klient - zakup polisy
02/18/2023,Zyciowe,839.74,Wschodni,85.00,Email,0.00,0.00,1.00,Telefon,Staly klient - rezygnacja
05/21/2023,Majatkowe,706.26,Pólnocny,26.00,Email,0.00,1.00,3.00,Telefon,Staly klient - zakup polisy
05/06/2023,Zyciowe,171.50,Wschodni,49.00,Telefon,0.00,0.00,8.00,Email,Staly klient - rezygnacja
01/02/2023,Zyciowe,112.26,Pólnocny,83.00,Telefon,0.00,0.00,6.00,Osobiscie,Staly klient - rezygnacja
05/30/2023,Majatkowe,694.02,Zachodni,50.00,Osobiscie,1.00,0.00,5.00,Email,Nowy klient - odmowa zakupu polisy
04/18/2023,Zyciowe,229.57,Poludniowy,50.00,Telefon,0.00,0.00,10.00,Email,Staly klient - rezygnacja
03/06/2023,Majatkowe,796.65,Pólnocny,71.00,Email,0.00,0.00,1.00,Telefon,Staly klient - rezygnacja
06/06/2023,Majatkowe,561.41,Poludniowy,20.00,Telefon,0.00,1.00,20.00,Telefon,Staly klient - zakup polisy
01/31/2023,Zyciowe,682.25,Pólnocny,49.00,Email,1.00,0.00,19.00,Email,Nowy klient - odmowa zakupu polisy
01/14/2023,Zyciowe,334.19,Wschodni,50.00,Telefon,1.00,1.00,15.00,Email,Nowy klient - zakup polisy
11/04/2023,Zyciowe,622.86,Wschodni,21.00,Osobiscie,0.00,1.00,14.00,Osobiscie,Staly klient - zakup polisy
03/24/2023,Majatkowe,481.19,Wschodni,47.00,Email,1.00,0.00,19.00,Osobiscie,Nowy klient - odmowa zakupu polisy
06/25/2023,Zyciowe,366.83,Pólnocny,25.00,Telefon,0.00,1.00,20.00,Telefon,Staly klient - zakup polisy
04/04/2023,Majatkowe,962.30,Wschodni,1.00,Telefon,0.00,0.00,15.00,Telefon,Staly klient - rezygnacja
03/01/2023,Majatkowe,440.95,Wschodni,27.00,Osobiscie,0.00,0.00,3.00,Osobiscie,Staly klient - rezygnacja
02/01/2023,Majatkowe,835.70,Pólnocny,1.00,Email,0.00,1.00,15.00,Telefon,Staly klient - zakup polisy
03/20/2023,Zyciowe,820.09,Zachodni,15.00,Osobiscie,0.00,0.00,9.00,Telefon,Staly klient - rezygnacja
03/13/2023,Zyciowe,541.32,Pólnocny,2.00,Telefon,0.00,0.00,5.00,Email,Staly klient - rezygnacja
06/13/2023,Zyciowe,619.92,Zachodni,6.00,Osobiscie,0.00,0.00,13.00,Osobiscie,Staly klient - rezygnacja
05/14/2023,Zyciowe,140.09,Wschodni,7.00,Osobiscie,0.00,0.00,12.00,Osobiscie,Staly klient - rezygnacja
05/24/2023,Zyciowe,378.67,Wschodni,6.00,Osobiscie,0.00,0.00,5.00,Osobiscie,Staly klient - rezygnacja
08/03/2023,Zyciowe,607.87,Wschodni,17.00,Telefon,1.00,1.00,7.00,Email,Nowy klient - zakup polisy
03/23/2023,Majatkowe,137.36,Zachodni,5.00,Email,0.00,0.00,13.00,Osobiscie,Staly klient - rezygnacja
06/02/2023,Zyciowe,956.52,Wschodni,85.00,Telefon,1.00,0.00,6.00,Email,Nowy klient - odmowa zakupu polisy
04/05/2023,Zyciowe,158.83,Pólnocny,55.00,Email,1.00,0.00,17.00,Email,Nowy klient - odmowa zakupu polisy
02/13/2023,Majatkowe,979.12,Zachodni,24.00,Telefon,1.00,1.00,14.00,Osobiscie,Nowy klient - zakup polisy
01/24/2023,Zyciowe,357.24,Wschodni,30.00,Telefon,1.00,1.00,14.00,Osobiscie,Nowy klient - zakup polisy
03/27/2023,Majatkowe,453.15,Pólnocny,55.00,Osobiscie,1.00,0.00,15.00,Osobiscie,Nowy klient - odmowa zakupu polisy
03/15/2023,Zyciowe,317.17,Pólnocny,13.00,Telefon,0.00,1.00,7.00,Osobiscie,Staly klient - zakup polisy
05/14/2023,Majatkowe,997.51,Zachodni,6.00,Email,0.00,0.00,17.00,Email,Staly klient - rezygnacja
01/26/2023,Zyciowe,582.51,Wschodni,3.00,Telefon,0.00,1.00,5.00,Osobiscie,Staly klient - zakup polisy
09/02/2023,Majatkowe,665.65,Wschodni,20.00,Osobiscie,1.00,1.00,20.00,Email,Nowy klient - zakup polisy
06/18/2023,Zyciowe,187.28,Wschodni,23.00,Osobiscie,1.00,0.00,3.00,Osobiscie,Nowy klient - odmowa zakupu polisy
